%emigrati altra regione ricoveri ordinari acuti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   ;                     ;2;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
1;Piemonte             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;7,53;7,87;8,06;8,62;8,61;8,45;8,43;8,32;8,02;7,88;6,96;6,65;6,64;6,71;6,91;6,88;7,03;7,55;7,18;7,04;6,67;5,67;6,26;6,46;6,67;               ;               
2;Valle d'Aosta        ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;18;18,66;20,18;20,78;21,89;22,09;22,17;21,96;21,05;20,18;21,97;21,98;20,78;18,04;16,56;15,98;16,31;15,05;13,78;15;15,85;13,61;15,42;18,42;18,6;               ;               
3;Lombardia            ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;4,06;3,85;3,83;3,81;3,98;3,9;3,9;3,91;3,94;3,85;3,73;3,75;3,78;3,64;3,69;3,83;3,94;4,02;4,12;4,24;4,51;4,46;4,94;5;5,12;               ;               
4;Trentino-Alto Adige  ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;8,51;8,77;8,82;9,56;10;10,47;10,56;10,63;10,45;10,29;10,17;9,98;9,48;8,83;8,88;8,63;8,9;9,62;9,49;9,37;9,47;8,35;8,52;8,98;9,83;               ;               
5;Veneto               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;4,34;4,46;4,51;4,73;4,84;5,12;5,31;5,45;5,67;5,7;5,72;5,84;6,23;6,38;6,26;6,2;6,1;6,36;6,07;6,21;6,23;5,26;5,91;6,25;6,35;               ;               
6;Friuli-Venezia Giulia;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;5,97;5,95;6,52;6,73;6,42;6,09;6,34;6,4;6,34;6,28;6,35;6,24;6,29;5,65;5,55;5,47;6,51;6,55;6,58;6,83;6,96;6,27;6,68;7,43;7,73;               ;               
7;Liguria              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;8,89;9,31;9,81;10,58;11,16;11,26;11,19;11,16;11,83;12,15;12,32;12,93;13,67;13,86;13,83;14,12;14,32;15,71;14,13;14,04;13,51;11,92;13,71;14,73;15,25;               ;               
8;Emilia-Romagna       ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;5,57;5,84;6,14;6,13;6,06;5,95;6,31;6,32;6,25;6;5,85;5,65;5,66;5,69;5,67;5,7;5,86;6,25;5,92;5,89;5,73;4,8;5,08;5,46;5,69;               ;               
9;Toscana              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;5,1;5,09;5,16;5,52;5,68;5,84;5,92;6,11;6,36;6,6;5,97;5,89;5,9;5,72;5,87;5,79;6,04;6,13;6,49;6,57;6,35;5,49;5,89;6,31;6,76;               ;               
10;Umbria               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;8,47;9,58;10,25;10,12;10,11;10,73;11,28;11,51;11,59;11,73;11,21;10,8;10,8;11,01;11,21;10,52;10,91;11,57;11,89;11,99;11,71;11,29;11,96;12,68;13,91;               ;               
11;Marche               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;9,16;9,03;9,11;9,49;10,08;10,55;10,75;11,07;11,23;10,91;11,15;10,73;11,12;11,44;11,99;11,97;12,88;13,46;13,64;13,13;13,12;11,73;12,94;13,45;13,35;               ;               
12;Lazio                ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;5,83;6,35;6,58;6,73;6,6;6,74;6,64;6,77;6,86;6,58;6,64;6,84;7,45;7,48;7,9;8,45;8,93;9,29;9,04;9,03;9,05;7,08;7,14;7,38;7,41;               ;               
13;Abruzzo              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;9,74;9,86;9,92;9,18;9,16;9,71;10,2;10,68;12,1;14,24;15,71;16,57;16,46;15,78;15,77;15,91;15,92;15,97;15,71;16,31;16,64;14,52;14,88;15,97;16,28;               ;               
14;Molise               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;20,72;20,84;19,87;20,1;21,76;20,91;20,62;20,35;19,21;19,6;20,33;19,27;20,67;22,31;23,22;23,65;24,11;26,7;27,22;28,06;28,6;27,29;29,21;30,37;32,58;               ;               
15;Campania             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;7,74;7,65;8,12;7,96;7,84;7,61;7,55;7,58;7,71;7,38;7,63;8,13;8,27;8,19;8,16;8,33;8,57;8,89;9,36;9,66;9,68;8,74;9,25;9,8;9,79;               ;               
16;Puglia               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;5,77;5,58;5,85;6,13;6,78;7,39;7,64;7,59;7,26;7,12;7,13;6,94;7,33;7,62;7,82;8,08;8,39;8,7;8,92;9,05;8,98;7,83;8,38;9,21;9,23;               ;               
17;Basilicata           ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;24,22;24,32;23,82;24,24;24,49;24,8;24,01;23,38;24,36;23,77;23,04;23,12;22,19;23,47;23,24;22,52;22,9;23,75;23,67;23,97;24,75;24,87;26,85;28,45;29,68;               ;               
18;Calabria             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;12,89;12,77;12,97;13,28;13,89;14,38;14,82;14,65;15,61;16,12;17,33;17,01;17,23;18,28;19,27;20,09;20,64;21,2;20,58;20,43;19,7;18,66;20,77;21,34;21,75;               ;               
19;Sicilia              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;6,89;7,28;6,41;5,83;5,95;6,03;6,09;6,07;6,24;6,27;6,37;6,49;6,72;6,34;6,37;6,46;6,71;7,1;7,23;7,35;7,52;5,93;6,22;6,98;7,03;               ;               
