Tasso personale dipendente SSN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   ;                     ;2;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
15;Campania             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;109,86;101,05;98,25;96,79;93,45;91,77;90,73;90,75;92,45;93,81;93,11;94,72;95,95;94,3;92,5;90,45;87,12;83,53;79,26;76,7;               ;               ;71,52;70,64;69,3;68,83;72,86;75,26;80,83;               ;               ;               
16;Puglia               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;98,43;98,32;101,92;97,96;98,01;92,92;93,32;93,62;92,8;88,8;87,01;86,13;87,06;87,18;86,31;90,55;93,16;93,96;89,55;88,54;               ;               ;85,43;85,39;88,77;88,22;93,17;94,77;94,81;               ;               ;               
17;Basilicata           ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;102,26;100,43;99,52;98,09;100,09;97,34;97,36;99,01;105;107,05;107,61;109,45;111;115,08;112,58;115,02;115,39;113,86;114,08;116,23;               ;               ;114,63;115,2;115,56;112,25;112,07;110,45;109,96;               ;               ;               
18;Calabria             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;104,76;117,7;113,67;113,79;114,32;110,7;110,5;112,81;117,36;118,44;116,36;113,84;114,91;113,15;109,3;110,91;110,87;110,08;102,68;99,1;               ;               ;93,98;94,79;94,26;93,23;94,27;94,9;94,75;               ;               ;               
19;Sicilia              ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;103,92;102,24;102,27;100,04;93,49;94,27;94,68;95,51;97,64;97,77;97,08;95,74;95,34;95,89;92,31;90,58;84,3;90,24;90,39;88,54;               ;               ;82,82;82,41;85,16;83,47;85,66;84,8;86,75;               ;               ;               
20;Sardegna             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;135,98;136,42;122,72;129,99;129,21;125,29;126,6;129,11;130,73;130,66;128,47;126,47;124,59;121,93;109,98;110,34;112,37;125,47;124,65;127,42;               ;               ;128,71;127;125,12;126,32;125,43;119,67;120,88;               ;               ;               
21;Italia               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;119,11;117,2;115,07;114,41;113,51;110,26;111,53;113,85;114,8;114,43;111,05;110,52;110,72;109,35;106,73;107,34;106,85;107,18;105,78;103,99;               ;               ;99,82;99,67;99,98;100,14;103,88;104,38;105,96;               ;               ;               
22;Nord Ovest           ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;118,08;116,93;115,98;115,75;117,18;113,83;116,32;118,62;118,23;116,68;112,58;110,75;109,99;107,94;104,2;106,35;106,75;104,46;104,08;102,43;               ;               ;98,46;98,3;98,61;99;99,83;100,54;101,59;               ;               ;               
23;Nord Est             ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;138,55;135,53;132,82;132,94;131,58;127,7;128,42;131,51;133,5;133,31;125,06;128,57;130,63;129,47;128,56;129,49;130,19;131,22;131,45;130,13;               ;               ;126,6;126,86;127,05;128,61;134,72;133,36;134,81;               ;               ;               
24;Nord                 ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;126,48;124,57;122,91;122,84;123,13;119,57;121,34;123,98;124,59;123,62;117,78;118,18;118,61;116,94;114,39;116,04;116,58;115,7;115,59;114,07;               ;               ;110,27;110,29;110,55;111,43;114,53;114,38;115,59;               ;               ;               
25;Centro               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;121,89;119,47;115,95;114,85;114,31;109,66;111,56;115,51;115,65;115,97;114,35;111,92;110,64;108,74;106,9;106,23;105,95;107,43;105,36;102,39;               ;               ;97,21;97,14;96,97;96,81;103,39;105,67;106,69;               ;               ;               
26;Sud                  ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;107,07;105,2;103,91;102,15;100,79;97,75;97,86;98,71;100,35;100,22;98,77;98,33;99,64;98,64;96,59;96,98;95,97;94,21;90,29;88,36;               ;               ;84,2;83,87;83,97;83,38;86,75;88,19;90,86;               ;               ;               
27;Isole                ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;111,88;110,71;107,34;107,45;102,32;101,94;102,57;103,82;105,83;105,91;104,85;103,36;102,6;102,36;96,71;95,5;91,29;98,97;98,85;98,13;               ;               ;94,13;93,41;95,03;94,06;95,52;93,43;95,18;               ;               ;               
28;Mezzogiorno          ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;108,62;106,97;105,02;103,86;101,28;99,09;99,38;100,35;102,11;102,05;100,73;99,95;100,59;99,84;96,63;96,5;94,46;95,75;93,05;91,51;               ;               ;87,41;86,95;87,54;86,82;89,57;89,88;92,25;               ;               ;               
29;Italia               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;               ;119,11;117,2;115,07;114,41;113,51;110,26;111,53;113,85;114,8;114,43;111,05;110,52;110,72;109,35;106,73;107,34;106,85;107,18;105,78;103,99;               ;               ;99,82;99,67;99,98;100,14;103,88;104,38;105,96;               ;               ;               
